Country,%Fossil fuel energy consumption ,G
Norway,56.0,44.0
Ireland,85.0,15.0
Switzerland,50.0,50.0
"Hong Kong, China (SAR)",93.0,7.0
Iceland,11.0,89.0
Germany,78.0,22.0
Sweden,25.0,75.0
Australia,89.0,11.0
Netherlands,93.0,7.0
Denmark,64.0,36.0
Finland,40.0,60.0
Singapore,90.0,10.0
United Kingdom,80.0,20.0
Belgium,75.0,25.0
New Zealand,59.0,41.0
Canada,74.0,26.0
United States,82.0,18.0
Austria,65.0,35.0
Israel,97.0,3.0
Japan,93.0,7.0
Slovenia,61.0,39.0
Korea (Republic of),81.0,19.0
Luxembourg,80.0,20.0
Spain,72.0,28.0
France,46.0,54.0
Czechia,77.0,23.0
Malta,97.0,3.0
Estonia,13.0,87.0
Italy,79.0,21.0
United Arab Emirates,86.0,14.0
Greece,82.0,18.0
Cyprus,92.0,8.0
Lithuania,67.0,33.0
Poland,90.0,10.0
Latvia,56.0,44.0
Portugal,77.0,23.0
Slovakia,64.0,36.0
Hungary,69.0,31.0
Saudi Arabia,99.0,1.0
Bahrain,99.0,1.0
Chile,74.0,26.0
Croatia,70.0,30.0
Qatar,99.0,1.0
Argentina,87.0,13.0
Brunei Darussalam,99.0,1.0
Montenegro,64.0,36.0
Romania,72.0,28.0
Kazakhstan,99.0,1.0
Russian Federation,92.0,8.0
Belarus,92.0,8.0
Turkey,86.0,14.0
Uruguay,46.0,54.0
Bulgaria,71.0,29.0
Panama,80.0,20.0
Oman,99.0,1.0
Georgia,72.0,28.0
Costa Rica,49.0,51.0
Malaysia,96.0,4.0
Kuwait,93.0,7.0
Serbia,83.0,17.0
Mauritius,84.0,16.0
Trinidad and Tobago,99.0,1.0
Albania,61.0,39.0
Cuba,85.0,15.0
Iran (Islamic Republic of),99.0,1.0
Sri Lanka,50.0,50.0
Bosnia and Herzegovina,77.0,23.0
Mexico,90.0,10.0
Ukraine,75.0,25.0
Peru,79.0,21.0
Thailand,79.0,21.0
Armenia,74.0,26.0
North Macedonia,79.0,21.0
Colombia,76.0,24.0
Brazil,59.0,41.0
China,87.0,13.0
Ecuador,86.0,14.0
Azerbaijan,98.0,2.0
Dominican Republic,86.0,14.0
Moldova (Republic of),88.0,12.0
Algeria,99.0,1.0
Lebanon,97.0,3.0
Tunisia,88.0,12.0
Suriname,76.0,24.0
Mongolia,93.0,7.0
Botswana,74.0,26.0
Jamaica,80.0,20.0
Jordan,97.0,3.0
Paraguay,33.0,67.0
Libya,99.0,1.0
Uzbekistan,97.0,3.0
Bolivia (Plurinational State of),84.0,16.0
Indonesia,66.0,34.0
Philippines,62.0,38.0
Venezuela (Bolivarian Republic of),88.0,12.0
South Africa,86.0,14.0
Egypt,97.0,3.0
Viet Nam,69.0,31.0
Gabon,22.0,78.0
Kyrgyzstan,75.0,25.0
Morocco,88.0,12.0
Iraq,95.0,5.0
El Salvador,48.0,52.0
Tajikistan,45.0,55.0
Guatemala,37.0,63.0
Nicaragua,40.0,60.0
Namibia,66.0,34.0
India,73.0,27.0
Honduras,52.0,48.0
Bangladesh,73.0,27.0
Ghana,52.0,48.0
Nepal,15.0,85.0
Kenya,17.0,83.0
Cambodia,30.0,70.0
Zambia,10.0,90.0
Myanmar,44.0,56.0
Angola,48.0,52.0
Congo,40.0,60.0
Zimbabwe,29.0,71.0
Syrian Arab Republic,97.0,3.0
Cameroon,38.0,62.0
Pakistan,61.0,39.0
Benin,36.0,64.0
Nigeria,18.0,82.0
Côte d'Ivoire,26.0,74.0
Tanzania (United Republic of),14.0,86.0
Togo,17.0,83.0
Senegal,53.0,47.0
Haiti,22.0,78.0
Sudan,31.0,69.0
Ethiopia,6.0,94.0
Congo (Democratic Republic of the),5.0,95.0
Yemen,98.0,2.0
Eritrea,23.0,77.0
Mozambique,12.0,88.0
South Sudan,72.0,28.0
Niger,24.0,76.0
