HDI rank,Country,Continent,Gender Inequality Index,Maternal mortality ratio,Share of seats in parliament,LFPR-Female
1,Norway,EUROPE,0.045,2,40.8,60.4
2,Ireland,EUROPE,0.093,5,24.3,56.0
2,Switzerland,EUROPE,0.025,5,38.6,62.9
4,Iceland,EUROPE,0.058,4,38.1,70.8
6,Germany,EUROPE,0.084,7,31.6,55.3
7,Sweden,EUROPE,0.039,4,47.3,61.4
8,Australia,OCEANIA,0.097,6,36.6,60.3
8,Netherlands,EUROPE,0.043,5,33.8,58.3
10,Denmark,EUROPE,0.038,4,39.1,58.2
11,Finland,EUROPE,0.047,3,47.0,55.5
11,Singapore,ASIA,0.065,8,23.0,62.0
13,United Kingdom,EUROPE,0.118,7,28.9,57.6
14,Belgium,EUROPE,0.043,5,43.3,48.6
14,New Zealand,OCEANIA,0.123,9,40.8,64.8
16,Canada,NORTH AMERICA,0.080,10,33.2,60.8
17,United States,NORTH AMERICA,0.204,19,23.7,56.1
18,Austria,EUROPE,0.069,5,38.5,55.1
19,Israel,ASIA,0.109,3,23.3,59.7
19,Japan,ASIA,0.094,5,14.5,52.7
22,Slovenia,EUROPE,0.063,7,22.3,53.4
23,Korea (Republic of),ASIA,0.064,11,16.7,52.9
23,Luxembourg,EUROPE,0.065,5,25.0,54.9
25,Spain,EUROPE,0.070,4,41.9,51.9
26,France,EUROPE,0.049,8,36.9,50.8
27,Czechia,EUROPE,0.136,3,20.6,52.9
28,Malta,EUROPE,0.175,6,14.9,46.0
29,Estonia,EUROPE,0.086,9,29.7,57.1
29,Italy,EUROPE,0.069,2,35.3,40.8
31,United Arab Emirates,ASIA,0.079,3,50.0,52.4
32,Greece,EUROPE,0.116,3,20.7,44.2
33,Cyprus,EUROPE,0.086,6,17.9,57.8
34,Lithuania,EUROPE,0.124,8,21.3,56.5
35,Poland,EUROPE,0.115,2,27.9,48.6
37,Latvia,EUROPE,0.176,19,30.0,55.7
38,Portugal,EUROPE,0.075,8,38.7,54.2
39,Slovakia,EUROPE,0.191,5,20.0,52.2
40,Hungary,EUROPE,0.233,12,12.6,48.5
