Country,Share of seats in parliament-Women,Share of seats in parliament-Men,,,
Norway,40.8,59.17159763,,,
Ireland,24.3,75.68807339,,,
Switzerland,38.6,61.38211382,,,
Iceland,38.1,61.90476190,,,
Germany,31.6,68.38046272,,,
Sweden,47.3,52.72206304,,,
Australia,36.6,63.43612335,,,
Netherlands,33.8,66.22222222,,,
Denmark,39.1,60.89385475,,,
Finland,47.0,53.00000000,,,
Singapore,23.0,77.00000000,,,
United Kingdom,28.9,71.09103544,,,
Belgium,43.3,56.66666667,,,
New Zealand,40.8,59.16666667,,,
Canada,33.2,66.81715576,,,
United States,23.7,76.27118644,,,
Austria,38.5,61.47540984,,,
Israel,23.3,76.66666667,,,
Japan,14.5,85.49295775,,,
Liechtenstein,12.0,88.00000000,,,
Slovenia,22.3,77.69230769,,,
Korea (Republic of),16.7,83.33333333,,,
Luxembourg,25.0,75.00000000,,,
Spain,41.9,58.14332248,,,
France,36.9,63.13513514,,,
Czechia,20.6,79.35943060,,,
Malta,14.9,85.07462687,,,
Estonia,29.7,70.29702970,,,
Italy,35.3,64.73684211,,,
United Arab Emirates,50.0,50.00000000,,,
Greece,20.7,79.33333333,,,
Cyprus,17.9,82.14285714,,,
Lithuania,21.3,78.72340426,,,
Poland,27.9,72.14285714,,,
Andorra,46.4,53.57142857,,,
Latvia,30.0,70.00000000,,,
Portugal,38.7,61.30434783,,,
Slovakia,20.0,80.00000000,,,
Hungary,12.6,87.43718593,,,
Saudi Arabia,19.9,80.13245033,,,
Bahrain,18.8,81.25000000,,,
Chile,22.7,77.27272727,,,
Croatia,20.5,79.47019868,,,
Qatar,9.8,90.24390244,,,
Argentina,39.9,60.12269939,,,
Brunei Darussalam,9.1,90.90909091,,,
Montenegro,28.4,71.60493827,,,
Romania,19.6,80.43010753,,,
Palau,13.8,86.20689655,,,
Kazakhstan,22.1,77.92207792,,,
Russian Federation,16.5,83.54838710,,,
Belarus,34.9,65.06024096,,,
Turkey,17.4,82.55033557,,,
Uruguay,20.9,79.06976744,,,
Bulgaria,25.8,74.16666667,,,
Panama,21.1,78.87323944,,,
Bahamas,21.8,78.18181818,,,
Barbados,29.4,70.58823529,,,
Oman,9.9,90.11627907,,,
Georgia,14.8,85.23489933,,,
Costa Rica,45.6,54.38596491,,,
Malaysia,15.5,84.48275862,,,
Kuwait,4.6,95.38461539,,,
Serbia,37.7,62.34817814,,,
Mauritius,20.0,80.00000000,,,
Seychelles,21.2,78.78787879,,,
Trinidad and Tobago,32.9,67.12328767,,,
Albania,29.5,70.49180328,,,
Cuba,53.2,46.77685950,,,
Iran (Islamic Republic of),5.9,94.11764706,,,
Sri Lanka,5.3,94.66666667,,,
Bosnia and Herzegovina,21.1,78.94736842,,,
Grenada,39.3,60.71428571,,,
Mexico,48.4,51.59235669,,,
Saint Kitts and Nevis,13.3,86.66666667,,,
Ukraine,20.5,79.48113208,,,
Antigua and Barbuda,31.4,68.57142857,,,
Peru,30.0,70.00000000,,,
Thailand,14.1,85.86666667,,,
Armenia,23.5,76.51515152,,,
North Macedonia,39.2,60.83333333,,,
Colombia,19.6,80.43478261,,,
Brazil,15.0,85.01683502,,,
China,24.9,75.05882353,,,
Ecuador,38.0,62.04379562,,,
Saint Lucia,20.7,79.31034483,,,
Azerbaijan,16.8,83.19327731,,,
Dominican Republic,24.3,75.67567568,,,
Moldova (Republic of),25.7,74.25742574,,,
Algeria,21.5,78.45117845,,,
Lebanon,4.7,95.31250000,,,
Fiji,19.6,80.39215686,,,
Dominica,25.0,75.00000000,,,
Maldives,4.6,95.40229885,,,
Tunisia,22.6,77.41935484,,,
Saint Vincent and the Grenadines,13.0,86.95652174,,,
Suriname,31.4,68.62745098,,,
Mongolia,17.3,82.66666667,,,
Botswana,10.8,89.23076923,,,
Jamaica,19.0,80.95238095,,,
Jordan,15.4,84.61538462,,,
Paraguay,16.8,83.20000000,,,
Tonga,7.4,92.59259259,,,
Libya,16.0,84.04255319,,,
Uzbekistan,16.4,83.60000000,,,
Bolivia (Plurinational State of),51.8,48.19277108,,,
Indonesia,17.4,82.60869565,,,
Philippines,28.0,71.95121951,,,
Belize,11.1,88.88888889,,,
Samoa,10.0,90.00000000,,,
Turkmenistan,25.0,75.00000000,,,
Venezuela (Bolivarian Republic of),22.2,77.84431138,,,
South Africa,45.3,54.66666667,,,
Egypt,14.9,85.06711409,,,
Marshall Islands,6.1,93.93939394,,,
Viet Nam,26.7,73.27935223,,,
Gabon,17.9,82.05128205,,,
Kyrgyzstan,19.2,80.83333333,,,
Morocco,18.4,81.55339806,,,
Guyana,31.9,68.11594203,,,
Iraq,25.2,74.77203647,,,
El Salvador,31.0,69.04761905,,,
Tajikistan,20.0,80.00000000,,,
Cabo Verde,23.6,76.38888889,,,
Guatemala,19.4,80.62500000,,,
Nicaragua,44.6,55.43478261,,,
Bhutan,15.3,84.72222222,,,
Namibia,37.0,63.04347826,,,
India,13.5,86.51399491,,,
Honduras,21.1,78.90625000,,,
Bangladesh,20.6,79.36962751,,,
Kiribati,6.5,93.47826087,,,
Sao Tome and Principe,14.5,85.45454545,,,
Micronesia (Federated States of),0.0,100.00000000,,,
Lao People's Democratic Republic,27.5,72.48322148,,,
Eswatini (Kingdom of),12.1,87.87878788,,,
Ghana,13.1,86.90909091,,,
Vanuatu,0.0,100.00000000,,,
Timor-Leste,38.5,61.53846154,,,
Nepal,33.5,66.46706587,,,
Kenya,23.3,76.73860911,,,
Cambodia,19.3,80.74866310,,,
Equatorial Guinea,19.2,80.81395349,,,
Zambia,18.0,82.03592814,,,
Myanmar,11.6,88.43226788,,,
Angola,30.0,70.00000000,,,
Congo,13.6,86.36363636,,,
Zimbabwe,34.6,65.42857143,,,
Solomon Islands,4.1,95.91836735,,,
Syrian Arab Republic,13.2,86.80000000,,,
Cameroon,29.3,70.71428571,,,
Pakistan,20.0,80.00000000,,,
Papua New Guinea,0.0,100.00000000,,,55.7
Comoros,6.1,93.93939394,,,
Mauritania,20.3,79.73856209,,,
Benin,7.2,92.77108434,,,
Uganda,34.9,65.14161220,,,
Rwanda,55.7,44.33962264,,,
Nigeria,4.1,95.88744589,,,
Côte d'Ivoire,13.3,86.72316384,,,
Tanzania (United Republic of),36.9,63.10432570,,,
Madagascar,16.9,83.09859155,,,
Lesotho,23.0,76.97368421,,,
Djibouti,26.2,73.84615385,,,
Togo,16.5,83.51648352,,,
Senegal,41.8,58.18181818,,,
Afghanistan,27.2,72.75641026,,,
Haiti,2.7,97.26027397,,,
Sudan,27.5,72.46376812,,,
Gambia,10.3,89.65517241,,,
Ethiopia,37.3,62.71428571,,,
Malawi,22.9,77.08333333,,,
Congo (Democratic Republic of the),12.0,88.01313629,,,
Guinea-Bissau,13.7,86.27450980,,,
Liberia,11.7,88.34951456,,,
Guinea,22.8,77.19298246,,,
Yemen,1.0,99.02912621,,,
Eritrea,22.0,78.00000000,,,
Mozambique,41.2,58.80000000,,,
Burkina Faso,13.4,86.61417323,,,
Sierra Leone,12.3,87.67123288,,,
Mali,9.5,90.47619048,,,
Burundi,38.8,61.25000000,,,
South Sudan,26.6,73.44110855,,,
Chad,14.9,85.11904762,,,
Central African Republic,8.6,91.42857143,,,
Niger,17.0,83.04093567,,,
