Country,For Infant ,For Under-Five ,For Female,For Male
Norway,2.1,2.5,39,62
Ireland,3.1,3.7,42,71
Switzerland,3.7,4.1,36,58
Iceland,1.5,2.0,38,66
Germany,3.1,3.7,48,87
Sweden,2.2,2.7,38,62
Australia,3.1,3.7,45,76
Netherlands,3.3,3.9,51,66
Denmark,3.6,4.2,52,82
Finland,1.4,1.7,44,89
Singapore,2.3,2.8,35,60
United Kingdom,3.6,4.3,55,86
Belgium,2.9,3.7,49,80
Canada,4.3,5.0,52,83
United States,5.6,6.5,82,139
Austria,2.9,3.5,42,79
Israel,3.0,3.7,40,71
Japan,1.8,2.5,36,66
Slovenia,1.7,2.1,45,91
Korea (Republic of),2.7,3.2,32,79
Luxembourg,1.9,2.4,41,66
Spain,2.5,3.0,38,75
France,3.4,4.0,48,95
Czechia,2.7,3.4,51,109
Malta,6.1,7.0,35,64
Estonia,2.1,2.6,56,155
Italy,2.6,3.0,37,65
United Arab Emirates,6.5,7.6,45,70
Greece,3.6,4.5,42,94
Cyprus,1.9,2.4,33,65
Lithuania,3.3,4.0,79,213
Poland,3.8,4.4,62,161
Latvia,3.3,3.9,85,229
Portugal,3.1,3.7,42,104
Slovakia,4.6,5.6,64,145
Hungary,3.6,4.3,81,168
Saudi Arabia,6.0,7.1,76,92
Bahrain,6.1,7.1,56,72
Chile,6.2,7.2,59,108
Croatia,4.0,4.7,50,118
Qatar,5.8,6.8,32,41
Argentina,8.8,9.9,79,147
Brunei Darussalam,9.8,11.6,99,144
Montenegro,2.3,2.5,66,125
Romania,6.1,7.3,73,172
Kazakhstan,8.8,9.9,94,221
Russian Federation,6.1,7.2,120,322
Belarus,2.6,3.4,83,235
Turkey,9.1,10.6,62,119
Uruguay,6.4,7.6,76,139
Bulgaria,5.9,7.1,86,184
Panama,13.1,15.3,77,148
Bahamas,8.3,10.2,117,194
Barbados,11.3,12.2,92,130
Oman,9.8,11.4,63,101
Georgia,8.7,9.8,77,222
Costa Rica,7.6,8.8,57,113
Malaysia,6.7,7.8,84,160
Kuwait,6.7,7.9,41,69
Serbia,4.8,5.5,75,142
Mauritius,13.6,15.5,94,188
Seychelles,12.4,14.5,98,202
Trinidad and Tobago,16.4,18.3,109,186
Albania,7.8,8.8,49,93
Cuba,3.7,5.0,74,113
Iran (Islamic Republic of),12.4,14.4,50,83
Sri Lanka,6.4,7.4,56,151
Bosnia and Herzegovina,5.0,5.8,60,115
Grenada,13.7,15.2,118,179
Mexico,11.0,12.7,96,184
Antigua and Barbuda,5.0,6.4,83,127
Peru,11.1,14.3,85,146
Thailand,7.8,9.1,78,187
Armenia,11.0,12.4,66,173
North Macedonia,8.7,9.9,63,120
Colombia,12.2,14.2,78,152
Brazil,12.8,14.4,91,189
China,7.4,8.6,60,94
Ecuador,12.2,14.2,88,161
Saint Lucia,14.9,16.6,97,175
Azerbaijan,19.2,21.5,89,149
Dominican Republic,24.1,28.8,115,197
Moldova (Republic of),13.6,15.8,96,237
Algeria,20.1,23.5,81,103
Lebanon,6.4,7.4,53,76
Fiji,21.6,25.6,175,257
Maldives,7.4,8.6,42,67
Tunisia,14.6,17.0,67,107
Saint Vincent and the Grenadines,14.8,16.4,125,207
Suriname,16.9,18.9,118,220
Mongolia,14.0,16.3,123,288
Botswana,30.0,36.5,162,249
Jamaica,12.4,14.4,104,175
Jordan,13.9,16.2,89,124
Paraguay,17.2,20.2,121,164
Tonga,13.4,15.6,121,214
Libya,10.2,12.0,99,180
Uzbekistan,19.1,21.4,101,170
Bolivia (Plurinational State of),21.8,26.8,138,219
Indonesia,21.1,25.0,126,178
Philippines,22.5,28.4,131,235
Belize,11.2,13.0,118,214
Samoa,13.6,15.8,81,138
Turkmenistan,39.3,45.8,128,244
Venezuela (Bolivarian Republic of),21.4,24.5,95,207
South Africa,28.5,33.8,249,376
"Palestine, State of",17.3,20.3,92,127
